Location,Description
"Ballina, County Mayo, Ireland","Lionbridge AI are looking to hire a Senior Data Analyst, to join their busy team in Ballina/Part remote-working.. . Our company mission is to break down barriers and build bridges. Join us today to continue our mission.. . As a senior team member, you'll be working in Lionbridge's AI business helping shape the Strategy and Transformation of the AI analytics function. The Lionbridge AI business is an exciting and diverse business, full of talented people with a can do attitude. We're doing something new within Lionbridge that will benefit our customers.. . You will get the opportunity to work on large datasets that are generated from our global communities working with some of the largest global tech customers in the world. The Insights shared back to our customers can provide impactful changes to consumers located across the globe through required products used in everyday life.. . This also an opportunity to shape the strategy, platform and toolsets used within the Analytics function in addition to mentoring team members on best practice techniques.. . You will be a senior member of the Data & AI Solutions function, working closely with internal functions and the business leadership. This is a customer facing role where you will have the unique opportunity to work with the largest tech customers on the planet in understanding their needs and develop ground-breaking solutions to address those needs.. . Ultimately you will be leveraging various AI approaches to enrich business solutions, develop and deliver market leading analytical solutions.. . You'll Have The Following Responsibilities. . Working directly with our largest technology customers in trying to understand and translate their business requirements into actionable data insights. Working with internal business and operational teams to bring increased understanding and insight to their processes and associated data flows.. Accessing a variety of cross functional data streams, partnering with business teams to develop key reporting and analysis frameworks to support the efficient and effective management of customer programs.. Work on enhancing the current data capabilities and create new analytical products using various statistical and AI techniques. Responsible for the management and delivery of key client Analytics projects making sure they are delivered on time. Building and delivering analytical solutions by analysing large and complex data sets using multiple technologies. Visualising analytical results in insightful and interactive ways using various technologies (Qlik, Power BI). Ownership of 3rd party technology provider relationships. Management, coaching and mentoring other data analysts / scientists. Support the AI business strategy of delivering actional insights to our global technology customers. . . . Must Have. . You'll have the following skills & experience. . A minimum of 5 years operational analytics experience with a track record of providing actionable insights to complex and large datasets. Detailed knowledge of a range of AI techniques including supervised and unsupervised machine learning techniques such as deep learning, graph data analytics, neural networks & natural language processing. Team management and development experience. Experience with Cloud computing, SQL proficiency, ETL applicable skills. Strong experience with statistical analysis using Python, R or similar. Strong data visualisation skills. Experience of working in a customer facing role with to understand customer requirements and translate them into solutions. Competent in designing and building innovative data and AI products. Strong communication and data presentation skills with the ability to build convincing recommendations and sell these to a non-technical audience. Experience in developing senior stake holder relationships. Flexible and agile work skills - comfortable working in a fast paced, highly collaborative, dynamic work environment. Primary degree in Analytics, Data Science, Mathematics, Computer Science, Information Management, or a related technical discipline. (Master level preferred). Show more"
"Dublin, County Dublin, Ireland","Online Safety Quality Analyst - Spanish or French Speaker. . Immediate opportunity for a Quality Analyst with background experience within an online support role to join a market-leading internet company. This role would ideally suit a person with 2+ years experience in a Contact Center and who is a fluent Spanish or French speaker with experience reviewing quality within Escalations, Online Safety, or highly sensitive online cases.. . The Offer. . This role offers an annual salary of €45,000. The role will commence as a 6-month contract. Its work from home for the next 6 months Laptop & Mobile provided.. . . What Will You Be Doing. . As a member of the Quality Escalations & Safety team, your main task will be to evaluate internal specialists (Escalations, Safety & Customer Service) and drive Quality initiatives for continuous improvement. The analysis, business case development, and reporting of evaluations and root cause analysis data will be the responsibility of this Analyst along with making sure all assigned duties are completed by the deadline.. . Your Profile. . . Fluent French or Spanish speaker (along with English). 2+ years' experience within a call center environment. Experience with NICE quality center software. Knowledge of Escalations, Online Safety or exp dealing with highly sensitive cases would be beneficial.. You must be able to work 40 hours per week. 3rd level degree. . . Interested? Apply today with CV or Linkedin profile. All applications and communications will be treated in the strictest of confidence.. Show more"
"Dublin, County Dublin, Ireland","Immediate opportunity for a Quality Analyst with background experience within an online support role to join a market-leading internet company. This role would ideally suit a person with 2+ years experience in a Contact Center and who is a fluent Spanish or French speaker with experience reviewing quality within Escalations, Online Safety, or highly sensitive online cases.. . The Offer. . This role offers an annual salary of €45,000. The role will commence as a 6-month contract. Its work from home for the next 6 months Laptop & Mobile provided.. . . What Will You Be Doing. . As a member of the Quality Escalations & Safety team, your main task will be to evaluate internal specialists (Escalations, Safety & Customer Service) and drive Quality initiatives for continuous improvement. The analysis, business case development, and reporting of evaluations and root cause analysis data will be the responsibility of this Analyst along with making sure all assigned duties are completed by the deadline.. . Your Profile. . . Fluent French or Spanish speaker (along with English). 2+ years' experience within a call center environment. Experience with NICE quality center software. Knowledge of Escalations, Online Safety or exp dealing with highly sensitive cases would be beneficial.. You must be able to work 40 hours per week. 3rd level degree. . . Interested? Apply today with CV or Linkedin profile. All applications and communications will be treated in the strictest of confidence.. Show more"
"Dublin, County Dublin, Ireland","Sales Operations Analyst. . Based in the heart of Dublin's Silicon Docks (Dublin 2), our client has been at the forefront in changing the internet and online technologies as we know it.. . . . . They require a Sales Operations Analyst with 2+ experience writing SQL queries and comfort working with data sets for sales teams to join them, initially on a 11-month contract.. . You will work with an integrated cross-functional team to create, and pitch data-driven business opportunities based on internal and external tools analysis.. . . . . Our client is currently conducting all interviews online and are onboarding all new workers remotely.. . Job Reference: BBBH 19396. . . . . What will a Sales Operations Analyst do?. . Quantify high impact opportunities with clear traffic, performance and budget recommendations and pitch to clients when applicable.. Partner with Sales and Sales Operations to develop and test tools, templates and frameworks to streamline and scale client analyses.. Oversee the work of the Account Optimizer to help identify and implement recommendations.. Collaborate with the sales team to educate and train clients and agencies on how to architect and optimize campaigns.. . . . . What does the Ideal Candidate look like?. . 2+ experience writing SQL queries and comfort working with data sets for sales teams.. Proficient in Excel.. . . . . Benefits?. . 25 days paid holidays plus bank holidays.. Tax Saver Travel tickets. Bike to work scheme.. Employee referral scheme. . . . . ﻿Still interested in this opportunity?. . Submit your CV (in a Microsoft Word format) today!. . . . . OR. . Perhaps this role didn't fully fit your criteria, not to worry - we have many similar roles advertised on our website - www.allenrec.com. . Please don't hesitate to contact any of our team with any questions you may have on Email: or Phone: +353 1 6694040. . Show more"
"Dublin, County Dublin, Ireland","Vendor Management Data Analyst. . . . . Based in Dublin, our client is renowned for their continuing advancements in online technologies that have changed the world. An ambitious, fast paced forward thinking company with very creative culture.. . . . . Our client is currently conducting all interviews online and are onboarding all new workers remotely.. . . . . They require a Vendor Management Data Analyst with 4+ years of experience in data analysis. Joining on an 11-month contract, the successful candidate will coordinate and manage vendor users on our client's proprietary localization tools and to maintain approved vendor resource databases.. . . . . Job Reference: BBBH 19391. . . . . What will a Vendor Management Data Analyst do?. . Write new queries regionally using SQL and/ or Python. Look into the data infrastructure. Ensure all external resources are appropriately provisioned on our client's internal systems in compliance with company policy.. Own communication with diverse network of localization vendor companies. Create and execute on vendor test, probation and localization schedules.. Review, prioritize, and track progress of issues that affect localization vendor operations and efficiencies. Working with vendors to ensure all assignments are understood, timelines are followed, and deliveries completed correctly and on time. Analyze vendor workflow issues and provide optimal solutions. Support cross-functional teams and stakeholders (Program Management, Language Management, Engineering, etc.) to ensure localization requirements are implemented and localization process is well understood. Work with tooling teams to define Vendor Platform designs and automation. Improve and optimize internal and external process and workflows. . . . . What does the Ideal Candidate look like?. . 4+ years of experience in data analysis. Proficiency in SQL and/ or Python. Vendor operations experience strongly desired. Proven ability to work with cross functional teams across different time zones. . . . . Benefits?. . Competitive Salary.. Work Laptop, phone (most roles) and latest tools and technologies.. 25 days annual leave (pro-rata) plus paid bank holidays.. Expanding workforce with options for permanent positions and career progress ion for top performers.. The experience of working with a company that will make your CV stand out from the crowd.. . . . . Still interested in this opportunity?. . Submit your CV (in a Microsoft Word format) today!. . OR. . Perhaps this role didn't fully fit your criteria, not to worry - we have many similar roles advertised on our website - www.allenrec.com. . Please don't hesitate to contact any of our team with any questions you may have on Email: or Phone: +353 1 6694040. . Show more"
"Dublin, County Dublin, Ireland","Data Operations Analyst. . . . . Based in Dublin, our client is renowned for their continuing advancements in online technologies that have changed the world. An ambitious, fast paced forward thinking company with very creative culture.. . . . . Our client is currently conducting all interviews online and are onboarding all new workers remotely.. . . . . They require a Data Operations Analyst with 3-5 years of experience in data analysis and operations.. . . . . Joining on a 6-month contract, the successful candidate will work in project team for analyzing asset data, proposing process improvement, and driving system enhancements for asset management.. . . . . Job Reference: BBBH 19371. . . . . What will a Data Operations Analyst do?. . Drive weekly team output while select side project based on interest and business need.. Pull data query from asset management system, HR table, 3rd party vendor database and other data sources and convert into story-telling charts/graphs for root cause analysis or process improvement opportunities.. Able to run SQL queries, data extract and automation opportunities for project team to improve efficiency.. Assist in solution testing, debugging and documentation and system issue support.. Able to build Tableau dashboard and provide business analysis on trend, proposals and insights for output gain and provide information for management for decision making.. Be able to take repetitive work and drive automated solutions. . . . . What does the Ideal Candidate look like?. . 3-5 years of experience in data analysis and operations. Experience/ previous exposure and understanding of compliance. Proficiency with Excel, experience with SQL desired. Proven ability to collaborate with cross functional teams across different time zones. . . . . Benefits?. . Competitive Salary.. Work Laptop, phone (most roles) and latest tools and technologies.. 25 days annual leave (pro-rata) plus paid bank holidays.. Expanding workforce with options for permanent positions and career progress ion for top performers.. The experience of working with a company that will make your CV stand out from the crowd.. . . . . Still interested in this opportunity?. . Submit your CV (in a Microsoft Word format) today!. . OR. . Perhaps this role didn't fully fit your criteria, not to worry - we have many similar roles advertised on our website - www.allenrec.com. . Please don't hesitate to contact any of our team with any questions you may have on Email: or Phone: +353 1 6694040. . Show more"
"Dublin, County Dublin, Ireland","Technical Business Analyst. . . Industry: Financial Technology Software Research & Development domain. . . Location: Dublin City Centre / Remote Working from anywhere in Ireland. . . Job Ref No: BBBH19329. . . Attractive salary plus benefits. . . We are assisting an exciting, privately owned FinTech Data Analytics SaaS provider to improve the user experience and expand their software capability delivering on an expansive roadmap of new and improved features for global client requirements.. . . Purpose: Collaborating with colleagues (Product Managers, Technical Architects and Developers) as well as Customers to design and reengineer complex product features including REST API Data Exchanges in line with best practices and techniques as well as becoming a subject matter expert on our client's platform and products.. . . Responsibilities will include:. . . Collaborate with Product Management, Technical Architects, Developers and Testers to gather, define, analyse and document (functional specifications, use cases, workflows and detailed product requirements). Collaborate with clients and software partners (consumers of financial data) to ensure value of acquired data is realised. Design, document and share complex data interfaces and product features. . . . . Ideal Profile. . . Degree in Computer Science or related. Ideally 3+ years' experience as an Agile Technical Business Analyst / Product Owner. Experience analysing and designing REST APIs and Web Services including resources, parameters, message formats, interfaces and other attributes including authorization keys, workflows and interdependencies between endpoints etc.. Appreciation of REST API technologies e.g. PHP, Python. Adept at developing functional specifications, use cases, workflows and detailed product requirements. Finance business knowledge in either Credit Risk Management / Supplier Risk Management. . This is an excellent career opportunity to join an exciting FinTech which is growing rapidly working remotely from anywhere in Ireland, travelling to Dublin for occasional company meet-ups. . Interested in this opportunity?. . . Why would you be interested in this role?. . . Successful, vibrant software R&D firms with offices in Dublin and NYC. Significant roadmap of new feature development. Great Product Management Framework and technologies. Competitive salary + quarterly bonus + healthcare + pension. Remote working role from anywhere in Ireland.. . . . . Interested in this opportunity?. . . Submit your CV (in Word or Text format) today. . . OR. . . Perhaps this role didn't fully fit your criteria, not to worry - we have many similar roles advertised on our website - www.allenrec.com. . . . . . Please don't hesitate to contact any of our team with any questions you may have on Email: or Phone: +353 1 6694040. . . Desired Skills and Experience. Business Analysis, Agile, Product Owner, Functional specification, Use Case, Workflow, product requirements, REST, Test API, Web Services, Messaging, Data Analysis, SQL, Python, Credit Risk. Show more"
"Dublin, County Dublin, Ireland","As a Senior Business Operations Analyst you will assist the Trust Technology and Support Services business lines with enterprise, acquisition technical readiness, service request projects and ongoing technology support. Come join us today @U.S Bank- WFH / flexible / hybrid model moving forward when safe to return to the office!. . ﻿. . Day to Day:. . Research, test, and develop reporting outcomes for operations teams using MS and Oracle SQL to query SWIFT related data-sets; then MS Report Builder for design.. Gather requirements and assist with the development of macros and other transformations in MS Excel and Access utilizing VBA.. Monitor and support an application that scans SWIFT messages against OFAC lists. Provide additional context when requested and facilitate communication between screening teams and the business lines.　. Act as a liaison between SWIFT Strategy teams, Technology Operations, and business units for general SWIFT related questions and support　. Actively participate in key projects with SWIFT components　. Test SWIFT messages (production, business line UAT, regression, clients)　. Manage trust BICs and Branch codes　. Handle SWIFT Alliance non-routed messages; research duplicate, failed, or unsolicited messages　. Maintain SWIFT procedures ensuring compliance with established policies and practices　. Evaluate the SWIFT annual release, identifying business lines and applications that may be affected by changes. . . . . Qualifications & Preferred skills;. . . . . Bachelor's degree, or equivalent work experience. 3- 5 years of experience in operations/technology project management activities. General knowledge of policies, plans, procedures, products and regulatory requirements for assigned business unit 　. Exposure and high level understanding of SWIFT messages and processing. Ability to conduct an analysis of a business need, including scheduling meetings, planning agendas and conferring with business line leaders. Self-starter who can work under minimal guidance with little to no requirements and provide significant daily value without having to be monitored. Able to resolve issues/inquiries received to the team with appropriate teams/custodians quickly with little or no guidance from manager. Strong data processing skills with exposure in the following: MS SQL, PLSQL, SSRS, VBA. . . . . As the Senior Business Operations Analyst you will perform business technical analysis, task management, project support, testing coordination and meeting coordination. Ensures end user technology requirements are met through analysis and implementation of appropriate solutions. Provides technology project analysis/support during acquisition technical readiness projects to ensure end user technology requirements are met and properly implemented. Provides technology project risk mitigation support, serves as liaison and advocate for business lines that are impacted by enterprise wide projects. Interfaces with internal and external resources to ensure successful implementation in accordance with business partner needs. 　. . Show more"
"Cork, County Cork, Ireland","Cohesity radically simplifies data management. We make it easy to back up, manage, and derive value from data -- across the data center, edge and cloud. Cohesity also helps ensure data is in compliance and protected against ransomware attacks. We offer a full suite of data management services consolidated on one multicloud data platform, reducing complexity and eliminating mass data fragmentation. Cohesity can be delivered as a service, self-managed, or provided by a Cohesity-powered partner.. . We’ve been named a Leader by multiple analyst firms, and are prominently featured in the Forbes Cloud 100 and CRN’s Coolest Cloud companies. Our growth is off the charts, and we’re just getting started!. . As a Finance Operations Analyst, you will leverage strong data extraction skills to drive our key company metrics/reporting including revenue and billing reporting deliverables, create ad hoc financial and sales performance analysis, support business planning, and implement ideas for process improvement.. . Successful members of this team collaborate effectively to solve data problems, implement new reporting solutions, and deliver successfully against high operational standards. The ideal candidate will be a highly motivated individual that seeks to “tell the story” of the data with little direction or supervision.. . This role will be the owner of key metrics data that will help provide clear visibility to the leadership team of the health of the business and the performance forecast and actuals against plan. This will be a highly visible role and will work closely with cross-functional teams, such as FP&A, Revenue Accounting, Sales Operations, Sales Management, and IT.. . The ideal candidate is a well-rounded and resourceful top performer who understands how to drive initiatives across the finish line in a timely and professional manner in a fast-paced, high-growth environment.. . Essential Job Functions. . Develop a deep understanding of key company metrics, reporting tools, and data structure in order to identify and drive resolution of issues, provide actionable intelligence with existing metrics or identify, develop, and propose new metrics, dashboards, scorecards or new tools. Be the corporate expert on metric definitions, contract treatment for ACV (Annual Contract Value), ARR (Annual Recurring Revenue), Churn/ Down sell, Revenue Forecasting and Billing Forecasting.. Manage and report weekly/monthly/quarterly of Company Revenue Forecast, Billings Forecast and Other Key Metrics.. Reconcile Forecasting vs. Revenue/Billing Actuals quarterly. Collaborate with BI (Business Intelligence) team to build/automate a Daily update Reporting of key company metrics.. Manage and develop key company metric reports that align, and simplify, monthly business reviews, annual planning, and forecasting processes. Collaborate and provide guidance, as necessary, to Revenue Operations and Account Receivable teams for order treatment as it applies to corporate metrics. Identify and drive process improvements, including the creation of standard and ad-hoc reporting tools and dashboards. Create policy and process documentation as necessary; provide communication and education to cross-functional teams as needed. Proactively recommend process improvements and collaborate cross-functionally as required to drive enhancements. Provide analysis, reporting and support as required. Drive system enhancements where necessary for business requirements. . . . Job Requirements. . Minimum of 2+ years related experience in a SaaS environment. BA/BS degree or equivalent in Finance or related field. Strong business acumen and understanding of sales process (forecasting, bookings, revenue and billings). Financial reporting and modeling experience. Highly proficient with Microsoft Office and with Google Suite. Experience with SFDC strongly preferred. Strong organizational skills with attention to detail. Ability to manage multiple priorities and tasks in parallel. Excellent communication skills. . . . Data Privacy Notice For Job Candidates. . For information on personal data processing, please see our Privacy Policy.. . . Show more"
"Dublin, County Dublin, Ireland","My client is an extremely exciting software company specializing in trade finance software! They are seeking to fill a Senior Technical Business Analyst / Product role. This is a permanent position within the Integration team based in their headquarters in Dublin city centre - remote at the moment.. . . . . You will have responsibility for the definition, prioritization, and delivery of all feature requirements supporting the integration stream. The Senior Technical analyst role is a broad role interacting with all sections of the business, development, partners, and customers in order to deliver a world class integration strategy for the product.. . . . . Key Responsibilities:. . Develop and manage relationships with stakeholders communicating on feature progress.. Support product owners and teams during the development iterations providing clarifications, adjustment to risks, changes in scope, reprioritizing, approval and providing demos to internal and external stakeholders.. Create and maintain the product backlog for the integration features, including prioritizing stories to be included in the future release cycles.. Define integration features in line with the company's product strategy and manage feature requests from internal/external stakeholders.. Support and own key aspects of the organization's integration strategy rollout including API lifecycle management, SDKs and associated data models.. Become the SME for company API, own the API portal ensuring best in class standards and communication of its features for customers, integration partners and developers. . . . . . . . . Skills:. . 5+ years of similar experience delivering successful software products or projects.. Ideally hands-on experience as a technical analyst or senior technical lead in an agile environment responsible for commercial software delivery.. Experience leading initiatives with a global footprint having built developer portals, APIs, integration projects, and complex systems/infrastructure at scale.. Strong interpersonal and communication skills and the ability to work well in a collaborative environment. Experience operating autonomously and leading large-scale efforts across multiple teams and functions, with stakeholders in different disciplines across time zones.. Tech stack: Distributed architecture / microservices / .Net / kotlin / Postgres / angular, Restful API’s. . . . . If you are interested, please email me your resume and a time you are free to speak - d.hughes@brightwater.ie. . . . . I will send you the full scope of responsibilities associated with the role and information on the client before our call :). . Show more"
